;BIN,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV
30,0.0300264,0.0016008,0.0020254,0.0002519,0.0000448,0.014488,0.0051829,0.0011984,0.0051919,0.0050535,0.2802308,0.2802308,0.1789855,0.1826424,0.0496863,0.0496863,0.0192689,0.0200302
32,0.0276069,0.0013555,0.0017504,0.000196,0.000039,0.0129297,0.0042451,0.001047,0.0048079,0.0047988,0.2602102,0.2602102,0.1678619,0.1695442,0.0455685,0.0455685,0.0174621,0.0178057
34,0.0251873,0.0011102,0.0014753,0.0001483,0.0000354,0.0113714,0.0035822,0.0009033,0.0044838,0.0045409,0.2401896,0.2401896,0.1570683,0.1576439,0.0414506,0.0414506,0.0156816,0.0159545
36,0.0227677,0.0008649,0.001282,0.0000928,0.0000317,0.0098131,0.0029192,0.000771,0.0041688,0.0042796,0.2201689,0.2201689,0.1467546,0.1481457,0.0373328,0.0373328,0.0141801,0.0148194
38,0.0203481,0.0006195,0.0011009,0.0000411,0.0000295,0.0082548,0.0025712,0.000657,0.0038444,0.00404,0.2001483,0.2001483,0.1379062,0.1406361,0.0332149,0.0332149,0.0129885,0.0138979
40,0.0179285,0.0003742,0.0009311,0.000019,0.0000273,0.0066965,0.0022231,0.000563,0.0035164,0.0037789,0.1801277,0.1801277,0.1308197,0.133653,0.0290971,0.0290971,0.0119511,0.0130291
42,0.0166298,0.0003357,0.0008177,0.0000155,0.0000253,0.0061917,0.0020464,0.0004907,0.0031942,0.0035162,0.1711277,0.1711277,0.1243463,0.1268366,0.0280922,0.0280922,0.0109483,0.0121404
44,0.0153311,0.0002971,0.0007044,0.0000135,0.0000233,0.005687,0.0018697,0.0004423,0.0028645,0.003257,0.1621277,0.1621277,0.117844,0.1205756,0.0270873,0.0270873,0.0099066,0.0112935
46,0.0140323,0.0002586,0.000591,0.0000115,0.0000214,0.0051823,0.0016929,0.0004127,0.0025318,0.0030163,0.1531277,0.1531277,0.1116923,0.1146073,0.0260824,0.0260824,0.0089348,0.0105055
48,0.0127336,0.00022,0.0004776,0.0000095,0.0000194,0.0046775,0.0015162,0.0003877,0.0022158,0.0027987,0.1441277,0.1441277,0.1058313,0.1087494,0.0250775,0.0250775,0.0081728,0.009758
50,0.0114349,0.0001815,0.0003642,0,0.0000174,0.0041728,0.0013395,0.0003652,0.0018868,0.0026006,0.1351277,0.1351277,0.1003308,0.1030812,0.0240726,0.0240726,0.007591,0.0090451
52,0.0105049,0.0001669,0.0003302,0,0.0000156,0.0040228,0.0012255,0.0003443,0.0015565,0.0024135,0.1291277,0.1291277,0.0950558,0.0973652,0.0233726,0.0233726,0.0070904,0.0083259
54,0.0095749,0.0001523,0.0002961,0,0.0000138,0.0038728,0.0011115,0.0003253,0.0012553,0.002216,0.1231277,0.1231277,0.0896423,0.0919833,0.0226726,0.0226726,0.0066009,0.007594
56,0.008645,0.0001377,0.000262,0,0.0000121,0.0037228,0.0009975,0.0003062,0.0010054,0.0020197,0.1171277,0.1171277,0.084765,0.0867978,0.0219726,0.0219726,0.0061135,0.0069084
58,0.007715,0.0001232,0.0002279,0,0.0000103,0.0035728,0.0008835,0.0002871,0.0008012,0.0018216,0.1111277,0.1111277,0.0802445,0.0816983,0.0212726,0.0212726,0.0056597,0.0062873
60,0.006785,0.0001086,0.0001939,0,0.0000085,0.0034228,0.0007695,0.0002681,0.000636,0.0016376,0.1051277,0.1051277,0.0758952,0.0766132,0.0205726,0.0205726,0.005265,0.0057025
62,0.0062182,0.0000982,0.0001739,0,0.0000065,0.0032428,0.0007202,0.000248,0.0005055,0.0014648,0.1011277,0.1011277,0.0715437,0.0718383,0.0198726,0.0198726,0.0049387,0.0051339
64,0.0056515,0.0000878,0.0001539,0,0.0000045,0.0030628,0.0006709,0.0002273,0.0004067,0.0013125,0.0971277,0.0971277,0.0674551,0.0671668,0.0191726,0.0191726,0.0046216,0.0045586
66,0.0050847,0.0000774,0.0001339,0,0.0000029,0.0028828,0.0006215,0.0002067,0.0003309,0.0011756,0.0931277,0.0931277,0.0635105,0.0624555,0.0184726,0.0184726,0.0043147,0.0040028
68,0.004518,0.000067,0.0001139,0,0.0000014,0.0027028,0.0005722,0.0001854,0.0002729,0.0010412,0.0891277,0.0891277,0.0602528,0.057677,0.0177726,0.0177726,0.0040085,0.0036103
70,0.0039512,0.0000565,0.0000939,0,0,0.0025228,0.0005229,0.000162,0.0002306,0.0009042,0.0851277,0.0851277,0.0571263,0.053836,0.0170726,0.0170726,0.003725,0.0033586
72,0.0036132,0.0000541,0.0000879,0,0,0.0024328,0.0004902,0.0001362,0.0002015,0.0007623,0.0826277,0.0826277,0.0537447,0.0514915,0.0163726,0.0163726,0.0034741,0.0031437
74,0.0032752,0.0000517,0.0000819,0,0,0.0023428,0.0004576,0.0001081,0.0001818,0.0006081,0.0801277,0.0801277,0.0507666,0.0492914,0.0156726,0.0156726,0.0032596,0.00293
76,0.0029373,0.0000493,0.0000759,0,0,0.0022528,0.0004249,0.0000786,0.0001659,0.0004709,0.0776277,0.0776277,0.0482433,0.0469251,0.0149726,0.0149726,0.0030527,0.0027099
78,0.0025993,0.0000469,0.0000699,0,0,0.0021628,0.0003923,0.0000491,0.0001543,0.0003552,0.0751277,0.0751277,0.0460599,0.0447689,0.0142726,0.0142726,0.0028456,0.0025235
80,0.0022613,0.0000445,0.0000639,0,0,0.0020728,0.0003596,0.0000228,0.0001459,0.0002749,0.0726277,0.0726277,0.0438717,0.042867,0.0135726,0.0135726,0.0026478,0.0024005
82,0.0021343,0.0000425,0.0000619,0,0,0.0019785,0.0003515,0.0000074,0.0001394,0.0002205,0.0701277,0.0701277,0.0417251,0.0411457,0.0128726,0.0128726,0.0024622,0.0023037
84,0.0020074,0.0000405,0.0000599,0,0,0.0018841,0.0003434,0.0000007,0.0001341,0.0001802,0.0676277,0.0676277,0.0397223,0.0393831,0.0121726,0.0121726,0.0022996,0.0022141
86,0.0018804,0.0000385,0.0000579,0,0,0.0017898,0.0003353,0,0.0001292,0.0001458,0.0651277,0.0651277,0.0380809,0.0377216,0.0114726,0.0114726,0.0021556,0.0021241
88,0.0017535,0.0000365,0.0000559,0,0,0.0016955,0.0003272,0,0.0001248,0.0001176,0.0626277,0.0626277,0.03639,0.036321,0.0107726,0.0107726,0.0020202,0.002041
90,0.0016265,0.0000345,0.0000539,0,0,0.0016012,0.0003191,0,0.0001202,0.0000977,0.0601277,0.0601277,0.034833,0.0351437,0.0100726,0.0100726,0.0018856,0.0019749
92,0.0015561,0.000034,0.0000531,0,0,0.0015281,0.0003103,0,0.0001157,0.0000775,0.0581277,0.0581277,0.0333768,0.0340056,0.0093726,0.0093726,0.0017505,0.0019269
94,0.0014858,0.0000335,0.0000523,0,0,0.0014551,0.0003015,0,0.0001112,0.0000602,0.0561277,0.0561277,0.0320027,0.0328536,0.0086726,0.0086726,0.0016346,0.001889
96,0.0014154,0.000033,0.0000515,0,0,0.001382,0.0002927,0,0.0001065,0.0000452,0.0541277,0.0541277,0.0308723,0.0317932,0.0079726,0.0079726,0.0015637,0.0018542
98,0.0013451,0.0000325,0.0000507,0,0,0.001309,0.0002839,0,0.0001019,0.0000315,0.0521277,0.0521277,0.0297952,0.0307819,0.0072726,0.0072726,0.0015303,0.0018196
100,0.0012747,0.000032,0.0000499,0,0,0.0012359,0.0002751,0,0.0000975,0.0000193,0.0501277,0.0501277,0.0286996,0.0298211,0.0065726,0.0065726,0.0014959,0.0017852
102,0.0012397,0.0000315,0.0000491,0,0,0.0011723,0.0002701,0,0.0000929,0.0000096,0.0481277,0.0481277,0.0276566,0.0288289,0.0063526,0.0063526,0.0014612,0.0017543
104,0.0012047,0.000031,0.0000483,0,0,0.0011088,0.0002651,0,0.0000883,0.0000035,0.0461277,0.0461277,0.0267136,0.0278753,0.0061326,0.0061326,0.0014276,0.0017264
106,0.0011697,0.0000305,0.0000475,0,0,0.0010452,0.0002601,0,0.0000837,0.0000008,0.0441277,0.0441277,0.0257593,0.0270029,0.0059126,0.0059126,0.0013953,0.0016994
108,0.0011347,0.00003,0.0000467,0,0,0.0009817,0.0002551,0,0.000079,0.0000001,0.0421277,0.0421277,0.0248467,0.0261922,0.0056926,0.0056926,0.0013684,0.0016731
110,0.0010997,0.0000295,0.0000459,0,0,0.0009181,0.0002501,0,0.0000727,0,0.0401277,0.0401277,0.023945,0.0253875,0.0054726,0.0054726,0.0013429,0.0016464
112,0.0010647,0.000029,0.0000451,0,0,0.0008881,0.0002461,0,0.0000633,0,0.0383277,0.0383277,0.0230739,0.0246081,0.0053726,0.0053726,0.0013173,0.0016208
114,0.0010297,0.0000285,0.0000443,0,0,0.0008581,0.0002421,0,0.0000508,0,0.0365277,0.0365277,0.0223113,0.0238571,0.0052726,0.0052726,0.0012913,0.0015982
116,0.0009947,0.000028,0.0000435,0,0,0.0008281,0.0002381,0,0.0000371,0,0.0347277,0.0347277,0.0215581,0.0231581,0.0051726,0.0051726,0.0012664,0.0015759
118,0.0009597,0.0000275,0.0000427,0,0,0.0007981,0.0002341,0,0.0000231,0,0.0329277,0.0329277,0.020781,0.0224713,0.0050726,0.0050726,0.0012425,0.0015536
120,0.0009247,0.000027,0.0000419,0,0,0.0007681,0.0002301,0,0.0000111,0,0.0311277,0.0311277,0.0200519,0.0217801,0.0049726,0.0049726,0.0012203,0.0015306
122,0.0008947,0.0000266,0.0000413,0,0,0.0007481,0.0002261,0,0.0000039,0,0.0301277,0.0301277,0.0193536,0.0211009,0.0049226,0.0049226,0.0011989,0.0015076
124,0.0008647,0.0000262,0.0000407,0,0,0.0007281,0.0002221,0,0.0000008,0,0.0291277,0.0291277,0.0186935,0.0204485,0.0048726,0.0048726,0.0011773,0.0014847
126,0.0008347,0.0000258,0.0000401,0,0,0.0007081,0.0002181,0,0.0000001,0,0.0281277,0.0281277,0.0180572,0.0198228,0.0048226,0.0048226,0.0011562,0.0014623
128,0.0008047,0.0000254,0.0000395,0,0,0.0006881,0.0002141,0,0,0,0.0271277,0.0271277,0.0174359,0.0191805,0.0047726,0.0047726,0.0011354,0.0014406
130,0.0007747,0.000025,0.0000389,0,0,0.0006681,0.0002101,0,0,0,0.0261277,0.0261277,0.0167895,0.0185654,0.0047226,0.0047226,0.0011141,0.0014187
132,0.0007447,0.0000246,0.0000383,0,0,0.0006481,0.0002061,0,0,0,0.0253277,0.0253277,0.0161949,0.0179712,0.0046926,0.0046926,0.0010926,0.0013966
134,0.0007147,0.0000242,0.0000377,0,0,0.0006281,0.0002021,0,0,0,0.0245277,0.0245277,0.0155981,0.017402,0.0046626,0.0046626,0.0010711,0.001374
136,0.0006847,0.0000238,0.0000371,0,0,0.0006081,0.0001981,0,0,0,0.0237277,0.0237277,0.0150026,0.0168489,0.0046326,0.0046326,0.0010508,0.0013512
138,0.0006547,0.0000234,0.0000365,0,0,0.0005881,0.0001941,0,0,0,0.0229277,0.0229277,0.0144337,0.0162645,0.0046026,0.0046026,0.0010297,0.0013289
140,0.0006247,0.000023,0.0000359,0,0,0.0005681,0.0001901,0,0,0,0.0221277,0.0221277,0.0138546,0.0157343,0.0045726,0.0045726,0.0010077,0.0013068
142,0.0005997,0.0000226,0.0000353,0,0,0.0005481,0.0001851,0,0,0,0.0219277,0.0219277,0.0132987,0.015179,0.0045526,0.0045526,0.0009862,0.0012842
144,0.0005747,0.0000222,0.0000347,0,0,0.0005281,0.0001801,0,0,0,0.0217277,0.0217277,0.012752,0.014669,0.0045326,0.0045326,0.0009656,0.0012615
146,0.0005497,0.0000218,0.0000341,0,0,0.0005081,0.0001751,0,0,0,0.0215277,0.0215277,0.0122153,0.0141565,0.0045126,0.0045126,0.000945,0.0012389
148,0.0005247,0.0000214,0.0000335,0,0,0.0004881,0.0001701,0,0,0,0.0213277,0.0213277,0.0116753,0.0136598,0.0044926,0.0044926,0.0009235,0.0012169
150,0.0004997,0.000021,0.0000329,0,0,0.0004681,0.0001651,0,0,0,0.0211277,0.0211277,0.0111836,0.0131864,0.0044726,0.0044726,0.000902,0.0011957
152,0.0004747,0.00002,0.0000323,0,0,0.0004531,0.0001591,0,0,0,0.0209277,0.0209277,0.0106724,0.0127295,0.0044576,0.0044576,0.0008804,0.0011731
154,0.0004497,0.000019,0.0000317,0,0,0.0004381,0.0001531,0,0,0,0.0207277,0.0207277,0.0102029,0.012258,0.0044426,0.0044426,0.0008596,0.0011503
156,0.0004247,0.000018,0.0000311,0,0,0.0004231,0.0001471,0,0,0,0.0205277,0.0205277,0.0097305,0.0118188,0.0044276,0.0044276,0.0008387,0.0011243
158,0.0003997,0.000017,0.0000305,0,0,0.0004081,0.0001411,0,0,0,0.0203277,0.0203277,0.0091795,0.0113415,0.0044126,0.0044126,0.0008171,0.0010897
160,0.0003747,0.000016,0.0000299,0,0,0.0003931,0.0001351,0,0,0,0.0201277,0.0201277,0.0085866,0.0108836,0.0043976,0.0043976,0.0007956,0.0010498
162,0.0003497,0.0000144,0.0000295,0,0,0.0003831,0.0001296,0,0,0,0.0199277,0.0199277,0.0079375,0.0104039,0.0043876,0.0043876,0.0007746,0.0010091
164,0.0003247,0.0000127,0.0000291,0,0,0.0003731,0.0001241,0,0,0,0.0197277,0.0197277,0.0072995,0.0099211,0.0043776,0.0043776,0.0007525,0.0009683
166,0.0002997,0.0000111,0.0000287,0,0,0.0003631,0.0001186,0,0,0,0.0195277,0.0195277,0.0066583,0.0092544,0.0043676,0.0043676,0.0007222,0.0009295
168,0.0002747,0.0000094,0.0000283,0,0,0.0003531,0.0001131,0,0,0,0.0193277,0.0193277,0.0060041,0.0084984,0.0043576,0.0043576,0.0006851,0.0008914
170,0.0002497,0.0000078,0.0000279,0,0,0.0003431,0.0001076,0,0,0,0.0191277,0.0191277,0.0052899,0.0076896,0.0043476,0.0043476,0.0006468,0.0008532
172,0.0002247,0.0000056,0.0000275,0,0,0.0003381,0.0001006,0,0,0,0.0189277,0.0189277,0.0046044,0.0068857,0.0043376,0.0043376,0.0006112,0.0008154
174,0.0001997,0.000004,0.0000271,0,0,0.0003331,0.0000935,0,0,0,0.0187277,0.0187277,0.0038987,0.0058758,0.0043276,0.0043276,0.0005726,0.0007776
176,0.0001747,0,0.0000267,0,0,0.0003281,0.0000865,0,0,0,0.0185277,0.0185277,0.0031213,0.0046599,0.0043176,0.0043176,0.000526,0.0007382
178,0.0001497,0,0.0000263,0,0,0.0003231,0.0000794,0,0,0,0.0183277,0.0183277,0.0022186,0.0033574,0.0043076,0.0043076,0.0004587,0.000693
180,0.0001247,0,0.0000259,0,0,0.0003181,0.0000724,0,0,0,0.0181277,0.0181277,0.0012697,0.0020013,0.0042976,0.0042976,0.0003767,0.0006359
182,0.0001147,0,0.0000255,0,0,0.0003131,0.0000629,0,0,0,0.0179277,0.0179277,0.000541,0.0009026,0.0042876,0.0042876,0.0002908,0.0005688
184,0.0001047,0,0.0000251,0,0,0.0003081,0.0000535,0,0,0,0.0177277,0.0177277,0.0001441,0.0002562,0.0042776,0.0042776,0.0002032,0.0005004
186,0.0000947,0,0.0000247,0,0,0.0003031,0.000044,0,0,0,0.0175277,0.0175277,0.0000166,0.0000387,0.0042676,0.0042676,0.0001131,0.0004349
188,0.0000847,0,0.0000243,0,0,0.0002981,0.0000346,0,0,0,0.0173277,0.0173277,0,0.0000021,0.0042576,0.0042576,0.0000367,0.0003647
190,0.0000747,0,0.0000239,0,0,0.0002931,0.0000251,0,0,0,0.0171277,0.0171277,0,0,0.0042476,0.0042476,0.0000034,0.0002927
192,0.0000697,0,0.0000235,0,0,0.0002881,0,0,0,0,0.0169277,0.0169277,0,0,0.0042376,0.0042376,0,0.0002202
194,0.0000647,0,0.0000231,0,0,0.0002831,0,0,0,0,0.0167277,0.0167277,0,0,0.0042276,0.0042276,0,0.0001492
196,0.0000597,0,0.0000227,0,0,0.0002781,0,0,0,0,0.0165277,0.0165277,0,0,0.0042176,0.0042176,0,0.0000823
198,0.0000547,0,0.0000223,0,0,0.0002731,0,0,0,0,0.0163277,0.0163277,0,0,0.0042076,0.0042076,0,0.00003
200,0.0000497,0,0.0000219,0,0,0.0002681,0,0,0,0,0.0161277,0.0161277,0,0,0.0041976,0.0041976,0,0.0000051
202,0.0000467,0,0.0000215,0,0,0.0002631,0,0,0,0,0.0159277,0.0159277,0,0,0.0041876,0.0041876,0,0
204,0.0000437,0,0.0000211,0,0,0.0002581,0,0,0,0,0.0157277,0.0157277,0,0,0.0041776,0.0041776,0,0
206,0.0000407,0,0.0000207,0,0,0.0002531,0,0,0,0,0.0155277,0.0155277,0,0,0.0041676,0.0041676,0,0
208,0.0000377,0,0.0000203,0,0,0.0002481,0,0,0,0,0.0153277,0.0153277,0,0,0.0041576,0.0041576,0,0
210,0.0000347,0,0.0000199,0,0,0.0002431,0,0,0,0,0.0151277,0.0151277,0,0,0.0041476,0.0041476,0,0
212,0.0000307,0,0.0000195,0,0,0.0002351,0,0,0,0,0.0149277,0.0149277,0,0,0.0041376,0.0041376,0,0
214,0.0000267,0,0.0000191,0,0,0.0002271,0,0,0,0,0.0147277,0.0147277,0,0,0.0041276,0.0041276,0,0
216,0.0000227,0,0.0000187,0,0,0.0002191,0,0,0,0,0.0145277,0.0145277,0,0,0.0041176,0.0041176,0,0
218,0.0000187,0,0.0000183,0,0,0.0002111,0,0,0,0,0.0143277,0.0143277,0,0,0.0041076,0.0041076,0,0
220,0.0000147,0,0.0000179,0,0,0.0002031,0,0,0,0,0.0141277,0.0141277,0,0,0.0040976,0.0040976,0,0
222,0.0000107,0,0.0000173,0,0,0.0001851,0,0,0,0,0.0139277,0.0139277,0,0,0.0040876,0.0040876,0,0
224,0.0000067,0,0.0000167,0,0,0.0001671,0,0,0,0,0.0137277,0.0137277,0,0,0.0040776,0.0040776,0,0
226,0,0,0.0000161,0,0,0.0001391,0,0,0,0,0.0135277,0.0135277,0,0,0.0040676,0.0040676,0,0
228,0,0,0.0000155,0,0,0.0000911,0,0,0,0,0.0133277,0.0133277,0,0,0.0040576,0.0040576,0,0
230,0,0,0.0000149,0,0,0,0,0,0,0,0.0131277,0.0131277,0,0,0.0040476,0.0040476,0,0
232,0,0,0.0000141,0,0,0,0,0,0,0,0.0129277,0.0129277,0,0,0.0040076,0.0040076,0,0
234,0,0,0.0000133,0,0,0,0,0,0,0,0.0127277,0.0127277,0,0,0.0039676,0.0039676,0,0
236,0,0,0.0000125,0,0,0,0,0,0,0,0.0125277,0.0125277,0,0,0.0039276,0.0039276,0,0
238,0,0,0.0000117,0,0,0,0,0,0,0,0.0123277,0.0123277,0,0,0.0038876,0.0038876,0,0
240,0,0,0.0000109,0,0,0,0,0,0,0,0.0121277,0.0121277,0,0,0.0038476,0.0038476,0,0
242,0,0,0.0000101,0,0,0,0,0,0,0,0.0118277,0.0118277,0,0,0.0037676,0.0037676,0,0
244,0,0,0.0000093,0,0,0,0,0,0,0,0.0115277,0.0115277,0,0,0.0036876,0.0036876,0,0
246,0,0,0,0,0,0,0,0,0,0,0.0112277,0.0112277,0,0,0.0036076,0.0036076,0,0
248,0,0,0,0,0,0,0,0,0,0,0.0109277,0.0109277,0,0,0.0035276,0.0035276,0,0
250,0,0,0,0,0,0,0,0,0,0,0.0106277,0.0106277,0,0,0.0034476,0.0034476,0,0
252,0,0,0,0,0,0,0,0,0,0,0.0098277,0.0098277,0,0,0.0032876,0.0032876,0,0
254,0,0,0,0,0,0,0,0,0,0,0.0090277,0.0090277,0,0,0.0031276,0.0031276,0,0
256,0,0,0,0,0,0,0,0,0,0,0.0082277,0.0082277,0,0,0.0029676,0.0029676,0,0
258,0,0,0,0,0,0,0,0,0,0,0.0074277,0.0074277,0,0,0.0028076,0.0028076,0,0
260,0,0,0,0,0,0,0,0,0,0,0.0066277,0.0066277,0,0,0.0026476,0.0026476,0,0
262,0,0,0,0,0,0,0,0,0,0,0.0058277,0.0058277,0,0,0.0015684,0.0015684,0,0
264,0,0,0,0,0,0,0,0,0,0,0.0050277,0.0050277,0,0,0.0004892,0.0004892,0,0
266,0,0,0,0,0,0,0,0,0,0,0.0032277,0.0032277,0,0,0.0002822,0.0002822,0,0
268,0,0,0,0,0,0,0,0,0,0,0.0014277,0.0014277,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
